track_name,emotion,album,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dil Hi Toh Hai,happy,"Dil Hi Toh Hai (From ""The Sky Is Pink"")",0hpP2fBridGH2Bq6qmg9LM,0.482,0.694,0,-5.368,1,0.042,0,0.11,0.573,90.196,280496,4
Nashe Si Chadh Gayi,happy,Befikre,0biCSADTAblvLTLtJz4pXO,0.799,0.784,4,-5.207,0,0.0519,2.84E-06,0.227,0.26,96.953,237876,4
"Hungama Ho Gaya (From ""Queen"")",happy,"Hungama Ho Gaya (From ""Queen"") - Single",4ZiH6RyMrw2vlgD6vrvzBd,0.624,0.847,8,-7.246,0,0.0455,0.202,0.284,0.507,138.059,271586,4
Naina Da Kya Kasoor,happy,Andhadhun,4JQxGJ8jsKW8pOUVoAgOZr,0.845,0.659,9,-6.348,1,0.0373,0.0129,0.0782,0.547,125.965,210952,4
"Jai Jai Shivshankar (From ""War"")",happy,"Jai Jai Shivshankar (From ""War"")",6lfSsCL894Qw15xbt7cSUy,0.825,0.904,5,-5.414,0,0.0787,1.21E-05,0.0715,0.528,129.036,230558,4
"Tum Hi Ho Bandhu (From ""Cocktail"")",happy,Cocktail,2zZTXtLqCsICzEcztKjn47,0.714,0.892,11,-5.342,0,0.0516,0.000817,0.0462,0.899,134.997,282012,4
"Kudi Nu Nachne De (From ""Angrezi Medium"")",happy,"Kudi Nu Nachne De (From ""Angrezi Medium"")",4YIhJmihoXwjtbY4vsV9Nh,0.834,0.688,9,-7.494,1,0.0653,0,0.174,0.876,117.949,172382,4
Koi Kahe Kehta Rahe,happy,Dil Chahta Hai,5zKRKQwLVBT1WDJE7XJrnm,0.749,0.734,1,-7.058,1,0.0594,6.48E-06,0.108,0.652,131.975,346200,4
Dhoom Machale,happy,Dhoom,2cYVtBHkrkk7F2qU2Y7Fn0,0.778,0.918,11,-5.023,0,0.12,0.000319,0.348,0.487,101.44,375118,4
"Aankh Marey (From ""Simmba"")",neutral,"Aankh Marey (From ""Simmba"")",63MvWd6T6yoS7h4AJ4Hjrm,0.796,0.978,5,-1.266,0,0.0955,0.00254,0.346,0.8,129.999,212741,4
"Ghungroo (From ""War"")",neutral,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,6,-6.274,0,0.0323,0.000175,0.533,0.864,118.034,302935,4
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",neutral,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",5fXslGZPI5Cco6PKHzlSL3,0.805,0.919,1,-1.294,1,0.0938,0.00343,0.0598,0.494,94.993,188606,4
"Muqabla (From ""Street Dancer 3D"")",neutral,"Muqabla (From ""Street Dancer 3D"")",28veUNu4veN0LOBVa0nFw8,0.804,0.913,0,-3.135,1,0.0933,2.84E-05,0.391,0.544,119.993,176125,4
Subha Hone Na De,neutral,Desi Boyz,6WediUhXDfm8FR3wlM0r3G,0.727,0.9,8,-4.529,1,0.0452,0.0464,0.154,0.505,131.97,288696,4
Sooraj Dooba Hain,neutral,Roy,48pyUxg9RYuwie5M9R7qRn,0.616,0.75,2,-4.629,1,0.0594,0,0.137,0.434,128.051,264854,4
"Coca Cola (From ""Luka Chuppi"")",neutral,"Coca Cola (From ""Luka Chuppi"")",352wEkChkiClswqwDoM0nj,0.722,0.867,0,-3.652,0,0.0904,0.0052,0.123,0.893,102.009,179225,4
Hookah Bar,neutral,Khiladi 786,4AoQVhME8Ko6LNm4lV2wwQ,0.73,0.656,11,-5.07,1,0.0294,0.00271,0.108,0.743,131.04,254351,4
The Jawaani Song,neutral,Student of the Year 2,3IzQc4KEAFd8lIc90X7FZr,0.71,0.801,7,-4.845,1,0.0896,0,0.0744,0.845,145.102,253161,4
Bang Bang,neutral,Bang Bang (Original Motion Picture Soundtrack),5R7HpWXej6SiCrd9YJsC5g,0.703,0.678,4,-8.644,0,0.0417,7.02E-05,0.496,0.694,120.051,320000,4
Dil Chori,neutral,Sonu Ke Titu Ki Sweety,6zojSFiUNySBy3Kd1JVCXb,0.765,0.89,5,-4.608,0,0.0824,0,0.0423,0.918,99.961,226696,4
Mehbooba,neutral,Fukrey Returns,7iJwXhzlwfhsPxHCwqyCX1,0.716,0.676,7,-4.762,1,0.0618,0.00234,0.289,0.402,98.01,179278,4
"Ankhiyon Se Goli Mare (From ""Pati Patni Aur Woh"")",neutral,"Ankhiyon Se Goli Mare (From ""Pati Patni Aur Woh"")",16NMvEYAus3qS1czInNNZl,0.818,0.972,2,-3.276,1,0.0802,3.72E-06,0.875,0.668,110.036,206913,4
Chittiyaan Kalaiyaan,neutral,Roy,6XjJXPP3UiGtAQpYkD01c0,0.793,0.887,7,-5.285,1,0.0954,6.39E-05,0.623,0.602,100.007,246100,4
Vele,neutral,Student of the Year (Original Motion Picture Soundtrack),31phvnfUfwzi0nf3dO814j,0.833,0.754,2,-7.555,1,0.0513,0,0.246,0.65,108.001,230547,4
